match_id,tourney_slug,match_stats_url_suffix,match_time,match_duration,winner_player_id,winner_serve_rating,winner_aces,winner_double_faults,winner_first_serves_in,winner_first_serves_total,winner_first_serve_points_won,winner_first_serve_points_total,winner_second_serve_points_won,winner_second_serve_points_total,winner_break_points_saved,winner_break_points_serve_total,winner_service_games_played,winner_return_rating,winner_first_serve_return_won,winner_first_serve_return_total,winner_second_serve_return_won,winner_second_serve_return_total,winner_break_points_converted,winner_break_points_return_total,winner_return_games_played,winner_service_points_won,winner_service_points_total,winner_return_points_won,winner_return_points_total,winner_total_points_won,winner_total_points_total,loser_player_id,loser_serve_rating,loser_aces,loser_double_faults,loser_first_serves_in,loser_first_serves_total,loser_first_serve_points_won,loser_first_serve_points_total,loser_second_serve_points_won,loser_second_serve_points_total,loser_break_points_saved,loser_break_points_serve_total,loser_service_games_played,loser_return_rating,loser_first_serve_return_won,loser_first_serve_return_total,loser_second_serve_return_won,loser_second_serve_return_total,loser_break_points_converted,loser_break_points_return_total,loser_return_games_played,loser_service_points_won,loser_service_points_total,loser_return_points_won,loser_return_points_total,loser_total_points_won,loser_total_points_total
2023-2843-2023-3-16-d643-lb66,adelaide,/en/scores/stats-centre/archive/2023/2843/ms016,01:14:55,74,d643,321,4,2,29,47,25,29,13,18,1,1,9,160,17,39,7,17,3,8,8,38,47,24,56,62,103,lb66,248,3,1,39,56,22,39,10,17,5,8,8,42,4,29,5,18,0,1,9,32,56,9,47,41,103
2023-2843-2023-3-15-p09z-ag37,adelaide,/en/scores/stats-centre/archive/2023/2843/ms031,01:54:52,114,p09z,299,11,2,45,67,35,45,13,22,1,2,11,142,12,45,10,21,2,4,11,48,67,22,66,70,133,ag37,278,7,2,45,66,33,45,11,21,2,4,11,122,10,45,9,22,1,2,11,44,66,19,67,63,133
2023-2843-2023-3-14-mm58-su87,adelaide,/en/scores/stats-centre/archive/2023/2843/ms020,01:42:34,102,mm58,280,5,2,45,70,30,45,15,25,9,10,8,117,7,32,14,25,1,4,7,45,70,21,57,66,127,su87,264,1,1,32,57,25,32,11,25,3,4,7,96,15,45,10,25,1,10,8,36,57,25,70,61,127
2023-2843-2023-3-13-bd06-re44,adelaide,/en/scores/stats-centre/archive/2023/2843/ms027,01:49:48,109,bd06,299,8,1,54,79,40,54,17,25,2,4,15,167,12,52,18,29,3,5,14,57,79,30,81,87,160,re44,261,15,6,52,81,40,52,11,29,2,5,14,121,14,54,8,25,2,4,15,51,81,22,79,73,160
2023-2843-2023-3-12-n732-r0dg,adelaide,/en/scores/stats-centre/archive/2023/2843/ms028,02:05:12,125,n732,248,0,8,54,86,36,54,16,32,5,9,14,153,17,57,22,38,4,11,14,52,86,39,95,91,181,r0dg,246,14,8,57,95,40,57,16,38,7,11,14,156,18,54,16,32,4,9,14,56,95,34,86,90,181
2023-2843-2023-3-11-s0ag-e831,adelaide,/en/scores/stats-centre/archive/2023/2843/ms024,01:05:03,65,s0ag,336,5,1,25,41,23,25,13,16,0,0,9,200,6,21,16,27,3,4,8,36,41,22,48,58,89,e831,218,1,2,21,48,15,21,11,27,1,4,8,27,2,25,3,16,0,0,9,26,48,5,41,31,89
2023-2843-2023-3-10-su55-h0bh,adelaide,/en/scores/stats-centre/archive/2023/2843/ms019,02:00:53,120,su55,254,7,9,42,77,30,42,18,35,5,8,13,153,15,58,23,35,4,12,14,48,77,38,93,86,170,h0bh,241,2,5,58,93,43,58,12,35,8,12,14,138,12,42,17,35,3,8,13,55,93,29,77,84,170
2023-2843-2023-3-9-ke29-cg04,adelaide,/en/scores/stats-centre/archive/2023/2843/ms023,01:25:55,85,ke29,279,6,3,34,61,30,34,12,27,6,7,9,182,16,40,11,17,4,12,9,42,61,27,57,69,118,cg04,222,3,2,40,57,24,40,6,17,8,12,9,93,4,34,15,27,1,7,9,30,57,19,61,49,118
2023-2843-2023-3-8-d0co-kf17,adelaide,/en/scores/stats-centre/archive/2023/2843/ms022,01:08:19,68,d0co,320,8,2,18,35,16,18,13,17,3,3,7,218,12,24,18,28,5,12,8,29,35,30,52,59,87,kf17,169,2,3,24,52,12,24,10,28,7,12,8,35,2,18,4,17,0,3,7,22,52,6,35,28,87
2023-2843-2023-3-7-gc88-g628,adelaide,/en/scores/stats-centre/archive/2023/2843/ms030,02:57:18,177,gc88,312,13,2,76,110,59,76,23,34,2,3,18,100,23,74,27,65,2,12,18,82,110,50,139,132,249,g628,272,10,4,74,139,51,74,38,65,10,12,18,94,17,76,11,34,1,3,18,89,139,28,110,117,249
