tourney_year_id,tourney_order,tourney_name,tourney_slug,tourney_url_suffix,start_date,start_year,start_month,start_day,end_date,end_year,end_month,end_day,currency,prize_money,match_index,tourney_round_name,round_order,match_order,winner_name,winner_player_id,winner_slug,loser_name,loser_player_id,loser_slug,winner_seed,loser_seed,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
2023-2843,2,Adelaide International 1,adelaide,/en/scores/archive/adelaide/2843/2023/results,2023.01.01,2023,1,1,2023.01.08,2023,1,8,USD,642735,2023,Final,1,1,Novak Djokovic,d643,novak-djokovic,Sebastian Korda,k0ah,sebastian-korda,1,,67(8) 76(3) 64,2,1,19,17,1,1,2023-2843-2023-7-1-d643-k0ah,/en/scores/stats-centre/archive/2023/2843/ms001
2023-2843,2,Adelaide International 1,adelaide,/en/scores/archive/adelaide/2843/2023/results,2023.01.01,2023,1,1,2023.01.08,2023,1,8,USD,642735,2023,Semifinals,2,1,Novak Djokovic,d643,novak-djokovic,Daniil Medvedev,mm58,daniil-medvedev,1,3,63 64,2,0,12,7,0,0,2023-2843-2023-6-2-d643-mm58,/en/scores/stats-centre/archive/2023/2843/ms002
2023-2843,2,Adelaide International 1,adelaide,/en/scores/archive/adelaide/2843/2023/results,2023.01.01,2023,1,1,2023.01.08,2023,1,8,USD,642735,2023,Semifinals,2,2,Sebastian Korda,k0ah,sebastian-korda,Yoshihito Nishioka,n732,yoshihito-nishioka,,,76(5) 10 (RET),2,0,8,6,1,0,2023-2843-2023-6-1-k0ah-n732,/en/scores/stats-centre/archive/2023/2843/ms003
2023-2843,2,Adelaide International 1,adelaide,/en/scores/archive/adelaide/2843/2023/results,2023.01.01,2023,1,1,2023.01.08,2023,1,8,USD,642735,2023,Quarterfinals,3,1,Novak Djokovic,d643,novak-djokovic,Denis Shapovalov,su55,denis-shapovalov,1,7,63 64,2,0,12,7,0,0,2023-2843-2023-5-4-d643-su55,/en/scores/stats-centre/archive/2023/2843/ms004
2023-2843,2,Adelaide International 1,adelaide,/en/scores/archive/adelaide/2843/2023/results,2023.01.01,2023,1,1,2023.01.08,2023,1,8,USD,642735,2023,Quarterfinals,3,2,Daniil Medvedev,mm58,daniil-medvedev,Karen Khachanov,ke29,karen-khachanov,3,8,63 63,2,0,12,6,0,0,2023-2843-2023-5-3-mm58-ke29,/en/scores/stats-centre/archive/2023/2843/ms005
2023-2843,2,Adelaide International 1,adelaide,/en/scores/archive/adelaide/2843/2023/results,2023.01.01,2023,1,1,2023.01.08,2023,1,8,USD,642735,2023,Quarterfinals,3,3,Sebastian Korda,k0ah,sebastian-korda,Jannik Sinner,s0ag,jannik-sinner,,6,75 61,2,0,13,6,0,0,2023-2843-2023-5-2-k0ah-s0ag,/en/scores/stats-centre/archive/2023/2843/ms006
2023-2843,2,Adelaide International 1,adelaide,/en/scores/archive/adelaide/2843/2023/results,2023.01.01,2023,1,1,2023.01.08,2023,1,8,USD,642735,2023,Quarterfinals,3,4,Yoshihito Nishioka,n732,yoshihito-nishioka,Alexei Popyrin,p09z,alexei-popyrin,,Q,76(4) 67(8) 62,2,1,19,15,1,1,2023-2843-2023-5-1-n732-p09z,/en/scores/stats-centre/archive/2023/2843/ms007
2023-2843,2,Adelaide International 1,adelaide,/en/scores/archive/adelaide/2843/2023/results,2023.01.01,2023,1,1,2023.01.08,2023,1,8,USD,642735,2023,Round of 16,4,1,Novak Djokovic,d643,novak-djokovic,Quentin Halys,hb64,quentin-halys,1,,76(3) 76(5),2,0,14,12,2,0,2023-2843-2023-4-8-d643-hb64,/en/scores/stats-centre/archive/2023/2843/ms008
2023-2843,2,Adelaide International 1,adelaide,/en/scores/archive/adelaide/2843/2023/results,2023.01.01,2023,1,1,2023.01.08,2023,1,8,USD,642735,2023,Round of 16,4,2,Daniil Medvedev,mm58,daniil-medvedev,Miomir Kecmanovic,ki95,miomir-kecmanovic,3,,60 63,2,0,12,3,0,0,2023-2843-2023-4-7-mm58-ki95,/en/scores/stats-centre/archive/2023/2843/ms010
2023-2843,2,Adelaide International 1,adelaide,/en/scores/archive/adelaide/2843/2023/results,2023.01.01,2023,1,1,2023.01.08,2023,1,8,USD,642735,2023,Round of 16,4,3,Jannik Sinner,s0ag,jannik-sinner,Thanasi Kokkinakis,kd46,thanasi-kokkinakis,6,WC,76(2) 64,2,0,13,10,1,0,2023-2843-2023-4-6-s0ag-kd46,/en/scores/stats-centre/archive/2023/2843/ms012
