name,ATPRank,games,wins,losses,players_odds,indoor_wins,indoor_losses,outdoor_wins,outdoor_losses
 Hajek J.,79,2,1,1,2.915,0,0,1,1
Abdulla M.,1349,1,0,1,,0,0,0,1
Abel M.,411,1,0,1,,0,0,0,1
Acasuso J.,256,271,141,130,2.3588582261029414,8,15,133,115
Adaktusson J.,265,1,0,1,,0,0,0,1
Agamenone F.,136,5,3,2,4.275,0,0,3,2
Agassi A.,39,118,85,33,1.7003970256024097,12,5,73,28
Ager J.,295,1,0,1,,0,0,0,1
Agostinelli B.,1171,1,0,1,,0,0,0,1
Aguilar J.,191,6,1,5,,0,1,1,4
Ahouda A.,727,4,1,3,16.166666666666668,0,0,1,3
Ajdukovic D.,299,4,1,3,2.8000000000000003,0,0,1,3
Al Ghareeb M.,514,7,1,6,,0,0,1,6
Al Mutawa J.,0,2,0,2,,0,0,0,2
Al-Ghareeb M.,431,1,0,1,,0,0,0,1
Alawadhi O.,0,1,0,1,,0,0,0,1
Albot R.,97,215,86,129,3.0446032831737346,26,26,60,103
Alcaide G.,238,1,0,1,,0,0,0,1
Alcaraz C.,1,164,130,34,1.7737904696762428,10,5,120,29
Aldi F.,238,8,1,7,5.675,0,1,1,6
Ali Mutawa J.M.,0,2,0,2,,0,0,0,2
Allegro Y.,0,4,1,3,,0,0,1,3
Almagro N.,661,654,384,270,2.279300826519207,29,36,355,234
Almagro N. ,27,1,0,1,,0,1,0,0
Altamirano C.,345,2,0,2,,0,0,0,2
Altmaier D.,51,79,28,51,2.762713585434174,1,5,27,46
Alund M.,131,17,7,10,5.695857142857143,3,1,4,9
Alvarez Varona N.,231,3,1,2,4.0,1,1,0,1
Alves M.,556,1,0,1,,0,0,0,1
Alves T.,138,29,7,22,4.595428571428571,0,0,7,22
Amritraj P.,308,27,11,16,2.9333928571428567,0,2,11,14
Ancic I.,68,3,2,1,2.875,0,0,2,1
Ancic M.,422,272,174,98,2.168427785200738,52,31,122,67
Andersen J.F.,190,3,1,2,,0,1,1,1
Anderson A.,1564,1,0,1,,0,0,0,1
Anderson K.,652,598,347,251,2.3719290173410403,48,38,299,213
Anderson O.,813,1,0,1,,0,0,0,1
Andreev A.,319,8,2,6,5.840833333333333,2,6,0,0
Andreev I.,416,423,214,209,2.157216102585663,23,32,191,177
Andreev I. ,35,1,0,1,,0,1,0,0
Andreozzi G.,240,39,12,27,3.233737373737374,0,0,12,27
Androic T.,363,2,0,2,,0,1,0,1
Andujar P.,323,404,164,240,3.349938907000026,12,30,152,210
Aragone J.,289,2,0,2,,0,0,0,2
Aragone J.C.,299,1,0,1,,0,0,0,1
Aragone JC,265,1,0,1,,0,0,0,1
Aranguren J.M.,257,2,0,2,,0,0,0,2
Arazi H.,138,34,15,19,2.5354833333333335,1,4,14,15
Arevalo M.,220,2,0,2,,0,0,0,2
Arguello F.,181,17,1,16,4.176666666666667,0,0,1,16
Armando H.,205,24,9,15,3.4746428571428574,0,0,9,15
Arnaboldi A.,267,14,4,10,3.7002500000000005,0,1,4,9
Arnaldi M.,76,18,9,9,3.2222222222222223,0,0,9,9
Arthurs W.,195,88,39,49,2.5110034502587695,6,7,33,42
Artunedo Martinavarro A.,340,1,0,1,,0,1,0,0
