player1_name,player1_atprank,player1_games,player1_wins,player1_loses,player2_name,player2_atprank,player2_games,player2_wins,player2_loses,match_date,match_location,match_tournament,match_surface,match_odd_player1,match_odd_player2,winner_player1
Harrison R.,481,272,117,155,Mager G.,67,59,24,35,2021-01-07,Delray Beach,Delray Beach Open,Hard,1.72,2.0,0
Korda S.,26,126,75,51,Kwon S.W.,68,108,53,55,2021-01-07,Delray Beach,Delray Beach Open,Hard,1.72,2.0,1
Paul T.,14,204,111,93,Nam J.S.,590,3,0,3,2021-01-07,Delray Beach,Delray Beach Open,Hard,1.12,6.0,1
Kecmanovic M.,40,210,107,103,Travaglia S.,1024,81,27,54,2021-01-07,Antalya,Antalya Open,Hard,1.44,2.62,0
Bellucci T.,915,380,179,201,Monteiro T.,121,171,69,102,2021-01-07,Delray Beach,Delray Beach Open,Hard,3.0,1.36,0
Bublik A.,25,219,110,109,Caruso S.,146,63,19,44,2021-01-07,Antalya,Antalya Open,Hard,1.61,2.2,1
Arnaboldi A.,267,14,4,10,Basilashvili N.,118,301,138,163,2021-01-07,Antalya,Antalya Open,Hard,2.5,1.5,0
Zuk K.,172,3,0,3,Celikbilek A.,230,9,4,5,2021-01-07,Antalya,Antalya Open,Hard,1.5,2.5,0
Ruusuvuori E.,55,158,79,79,Vesely J.,528,288,130,158,2021-01-07,Antalya,Antalya Open,Hard,1.5,2.5,1
Goffin D.,123,522,296,226,Herbert P.H.,157,202,89,113,2021-01-07,Antalya,Antalya Open,Hard,1.4,2.75,1
Querrey S.,287,678,369,309,Mcdonald M.,60,190,87,103,2021-01-08,Delray Beach,Delray Beach Open,Hard,1.8,1.9,1
Harrison C.,251,15,6,9,Etcheverry T.,34,60,26,34,2021-01-08,Delray Beach,Delray Beach Open,Hard,1.33,3.25,1
Martin A.,723,258,107,151,Galan D.E.,76,78,33,45,2021-01-08,Delray Beach,Delray Beach Open,Hard,2.75,1.4,0
Quiroz R.,293,6,3,3,Rubin N.,306,29,8,21,2021-01-08,Delray Beach,Delray Beach Open,Hard,2.0,1.72,1
Fratangelo B.,695,62,22,40,King K.,304,7,1,6,2021-01-08,Delray Beach,Delray Beach Open,Hard,1.5,2.5,1
Aragone J.C.,299,1,0,1,Norrie C.,13,287,172,115,2021-01-08,Delray Beach,Delray Beach Open,Hard,4.33,1.2,0
Karlovic I.,221,674,351,323,Andujar P.,323,404,164,240,2021-01-08,Delray Beach,Delray Beach Open,Hard,2.62,1.44,1
Albot R.,97,215,86,129,Chardy J.,542,591,289,302,2021-01-08,Antalya,Antalya Open,Hard,1.72,2.0,0
Djere L.,38,243,120,123,Kuzmanov D.,207,12,4,8,2021-01-08,Antalya,Antalya Open,Hard,1.44,2.62,0
Fognini F.,128,742,383,359,Vrbensky M.,311,1,0,1,2021-01-08,Antalya,Antalya Open,Hard,1.4,2.75,1
Kuhn N.,259,12,3,9,Bachinger M.,279,86,31,55,2021-01-08,Antalya,Antalya Open,Hard,2.25,1.57,1
De Minaur A.,19,272,161,111,Jaziri M.,444,217,83,134,2021-01-08,Antalya,Antalya Open,Hard,1.04,13.0,1
Berrettini M.,38,217,142,75,Kirkin E.,446,2,0,2,2021-01-08,Antalya,Antalya Open,Hard,1.03,15.0,1
Molcan A.,120,86,45,41,Grenier H.,122,16,5,11,2021-01-08,Antalya,Antalya Open,Hard,1.9,1.8,0
Ilhan M.,571,74,20,54,Andreev A.,319,8,2,6,2021-01-08,Antalya,Antalya Open,Hard,4.33,1.2,0
Gerasimov E.,150,93,43,50,Lamasine T.,271,9,3,6,2021-01-08,Antalya,Antalya Open,Hard,1.16,5.0,0
Struff J.L.,21,369,170,199,Kotov P.,89,25,10,15,2021-01-08,Antalya,Antalya Open,Hard,1.22,4.0,1
Tiafoe F.,10,303,158,145,Young D.,327,312,125,187,2021-01-09,Delray Beach,Delray Beach Open,Hard,1.22,4.0,1
Garin C.,101,190,103,87,Harrison C.,251,15,6,9,2021-01-09,Delray Beach,Delray Beach Open,Hard,1.44,2.62,0
Mager G.,67,59,24,35,Querrey S.,287,678,369,309,2021-01-09,Delray Beach,Delray Beach Open,Hard,4.0,1.22,1
Kuhn N.,259,12,3,9,Goffin D.,123,522,296,226,2021-01-09,Antalya,Antalya Open,Hard,6.5,1.11,0
Korda S.,26,126,75,51,Paul T.,14,204,111,93,2021-01-09,Delray Beach,Delray Beach Open,Hard,2.37,1.53,1
Ruusuvuori E.,55,158,79,79,Travaglia S.,1024,81,27,54,2021-01-09,Antalya,Antalya Open,Hard,1.44,2.62,0
Celikbilek A.,230,9,4,5,Basilashvili N.,118,301,138,163,2021-01-09,Antalya,Antalya Open,Hard,2.75,1.4,0
De Minaur A.,19,272,161,111,Andreev A.,319,8,2,6,2021-01-09,Antalya,Antalya Open,Hard,1.08,8.0,1
Tiafoe F.,10,303,158,145,Fratangelo B.,695,62,22,40,2021-01-10,Delray Beach,Delray Beach Open,Hard,1.3,3.4,1
Quiroz R.,293,6,3,3,Karlovic I.,221,674,351,323,2021-01-10,Delray Beach,Delray Beach Open,Hard,2.1,1.66,1
Berrettini M.,38,217,142,75,Kuzmanov D.,207,12,4,8,2021-01-10,Antalya,Antalya Open,Hard,1.07,9.0,1
Grenier H.,122,16,5,11,Struff J.L.,21,369,170,199,2021-01-10,Antalya,Antalya Open,Hard,4.5,1.18,0
