player1_name,player1_ATPRank,player1_games,player1_wins,player1_losses,player1_players_odds,player1_indoor_wins,player1_indoor_losses,player1_outdoor_wins,player1_outdoor_losses,player2_name,player2_ATPRank,player2_games,player2_wins,player2_losses,player2_players_odds,player2_indoor_wins,player2_indoor_losses,player2_outdoor_wins,player2_outdoor_losses,tournament_name,tournament_serie,tournament_location,tournament_court,tournament_surface,tournament_totalrounds,tournament_bestof,match_date,match_odd_player1,match_odd_player2
Anderson K.,652.0,598.0,347.0,251.0,2.3719290173410403,48.0,38.0,299.0,213.0,Machac T.,108.0,18.0,6.0,12.0,3.1454166666666663,1.0,1.0,5.0,11.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Couacaud E.,158.0,9.0,2.0,7.0,5.2160714285714285,0.0,1.0,2.0,6.0,Kukushkin M.,221.0,352.0,141.0,211.0,3.118152173913044,50.0,49.0,91.0,162.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Mochizuki S.,200.0,8.0,0.0,8.0,,0.0,1.0,0.0,7.0,Cazaux A.,190.0,4.0,1.0,3.0,2.286666666666667,0.0,0.0,1.0,3.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Zeppieri G.,129.0,13.0,4.0,9.0,3.33125,0.0,1.0,4.0,8.0,Giannessi A.,224.0,35.0,12.0,23.0,3.2092934782608697,1.0,4.0,11.0,19.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Klein L.,142.0,7.0,2.0,5.0,2.547,0.0,1.0,2.0,4.0,Marterer M.,144.0,91.0,31.0,60.0,2.7698387096774195,2.0,8.0,29.0,52.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Nava E.,242.0,13.0,2.0,11.0,4.150909090909091,0.0,0.0,2.0,11.0,Vavassori A.,128.0,12.0,5.0,7.0,3.428,1.0,1.0,4.0,6.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Millman J.,140.0,256.0,113.0,143.0,2.906754130824928,21.0,22.0,92.0,121.0,Travaglia S.,1024.0,81.0,27.0,54.0,2.747777777777777,5.0,12.0,22.0,42.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Svajda Z.,233.0,8.0,2.0,6.0,4.43,0.0,1.0,2.0,5.0,Pospisil V.,99.0,280.0,122.0,158.0,2.88071591616518,39.0,34.0,83.0,124.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Spizzirri E.,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,Kovacevic A.,129.0,14.0,6.0,8.0,4.551666666666667,0.0,0.0,6.0,8.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Daniel T.,111.0,178.0,67.0,111.0,3.0271643035863214,3.0,10.0,64.0,101.0,Hong S.,471.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Gaston H.,109.0,58.0,24.0,34.0,3.4962254901960783,5.0,9.0,19.0,25.0,Shimizu Y.,451.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Shang J.,149.0,12.0,4.0,8.0,3.138125,0.0,0.0,4.0,8.0,Kypson P.,329.0,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Gojo B.,115.0,14.0,3.0,11.0,2.451060606060606,0.0,1.0,3.0,10.0,Andreev A.,319.0,8.0,2.0,6.0,5.840833333333333,2.0,6.0,0.0,0.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Brancaccio R.,336.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,Skatov T.,147.0,5.0,1.0,4.0,4.8875,1.0,2.0,0.0,2.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Misolic F.,158.0,11.0,6.0,5.0,2.8120000000000003,0.0,1.0,6.0,4.0,Coppejans K.,188.0,11.0,0.0,11.0,,0.0,3.0,0.0,8.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
Novak D.,166.0,58.0,15.0,43.0,3.092077519379845,6.0,16.0,9.0,27.0,Polmans M.,165.0,19.0,5.0,14.0,3.2462857142857144,0.0,3.0,5.0,11.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,,
