player1_name,player1_atprank,player1_games,player1_wins,player1_losses,player1_players_odds,player1_indoor_wins,player1_indoor_losses,player1_outdoor_wins,player1_outdoor_losses,player1_ratio_win,player1_players_indoors_win_ratio,player1_players_outdoors_win_ratio,player2_name,player2_atprank,player2_games,player2_wins,player2_losses,player2_players_odds,player2_indoor_wins,player2_indoor_losses,player2_outdoor_wins,player2_outdoor_losses,player2_ratio_win,player2_players_indoors_win_ratio,player2_players_outdoors_win_ratio,tournament_name,tournament_serie,tournament_location,tournament_court,tournament_surface,tournament_totalrounds,tournament_bestof,match_date,match_odd_player1,match_odd_player2
Anderson K.,652.0,598.0,347.0,251.0,2.3719290173410403,48.0,38.0,299.0,213.0,0.580267558528428,0.5581395348837209,0.583984375,Machac T.,108.0,18.0,6.0,12.0,3.1454166666666663,1.0,1.0,5.0,11.0,0.3333333333333333,0.5,0.3125,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,2.15,1.64
Couacaud E.,158.0,9.0,2.0,7.0,5.2160714285714285,0.0,1.0,2.0,6.0,0.2222222222222222,0.0,0.25,Kukushkin M.,221.0,352.0,141.0,211.0,3.118152173913044,50.0,49.0,91.0,162.0,0.4005681818181818,0.5050505050505051,0.3596837944664031,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,1.02,8.5
Mochizuki S.,200.0,8.0,0.0,8.0,,0.0,1.0,0.0,7.0,0.0,0.0,0.0,Cazaux A.,190.0,4.0,1.0,3.0,2.286666666666667,0.0,0.0,1.0,3.0,0.25,,0.25,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,3.55,1.25
Klein L.,142.0,7.0,2.0,5.0,2.547,0.0,1.0,2.0,4.0,0.2857142857142857,0.0,0.3333333333333333,Marterer M.,144.0,91.0,31.0,60.0,2.7698387096774195,2.0,8.0,29.0,52.0,0.3406593406593406,0.2,0.3580246913580246,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,2.0,1.71
Nava E.,242.0,13.0,2.0,11.0,4.150909090909091,0.0,0.0,2.0,11.0,0.1538461538461538,,0.1538461538461538,Vavassori A.,128.0,12.0,5.0,7.0,3.428,1.0,1.0,4.0,6.0,0.4166666666666667,0.5,0.4,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,1.49,2.45
Millman J.,140.0,256.0,113.0,143.0,2.906754130824928,21.0,22.0,92.0,121.0,0.44140625,0.4883720930232558,0.431924882629108,Travaglia S.,1024.0,81.0,27.0,54.0,2.747777777777777,5.0,12.0,22.0,42.0,0.3333333333333333,0.2941176470588235,0.34375,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,1.61,2.20
Svajda Z.,233.0,8.0,2.0,6.0,4.43,0.0,1.0,2.0,5.0,0.25,0.0,0.2857142857142857,Pospisil V.,99.0,280.0,122.0,158.0,2.88071591616518,39.0,34.0,83.0,124.0,0.4357142857142857,0.5342465753424658,0.4009661835748792,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,1.66,2.10
Spizzirri E.,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,,0.0,Kovacevic A.,129.0,14.0,6.0,8.0,4.551666666666667,0.0,0.0,6.0,8.0,0.4285714285714285,,0.4285714285714285,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,3.35,1.28
Daniel T.,111.0,178.0,67.0,111.0,3.0271643035863214,3.0,10.0,64.0,101.0,0.3764044943820224,0.2307692307692307,0.3878787878787879,Hong S.,471.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,,0.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,1.16,4.65
Gaston H.,109.0,58.0,24.0,34.0,3.4962254901960783,5.0,9.0,19.0,25.0,0.4137931034482758,0.3571428571428571,0.4318181818181818,Shimizu Y.,451.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,,0.0,US Open,Grand Slam,New York,Outdoor,Hard,7,5.0,2023-08-24,1.44,2.60
