index,match_id,match_date,match_round_order,match_order,player1_name,player1_id,player1_weight,player1_height,player1_birthdate,player1_turned_pro,player1_atprank,player1_oddsB365,player1_oddsPS,player2_name,player2_id,player2_weight,player2_height,player2_birthdate,player2_turned_pro,player2_atprank,player2_oddsB365,player2_oddsPS,winner_player1,player1_plays,player1_wins,player1_losses,player1_age,player1_mean_serve_rating,player1_mean_atp_adversary,player1_elo,player2_plays,player2_wins,player2_losses,player2_age,player2_mean_serve_rating,player2_mean_atp_adversary,player2_elo,player1_c1,player1_c2,player1_c3,player1_c4,player1_c5,player2_c1,player2_c2,player2_c3,player2_c4,player2_c5
39215,2011-339-ms024-4-11-l397-p624,2011-01-02,5,6,Feliciano Lopez,l397,88.0,188.0,1981-09-20,1997.0,32.0,1.53,1.67,Philipp Petzschner,p624,77.0,185.0,1984-03-24,2001.0,57.0,2.37,2.33,1,399,202,197,29.28405201916496,273.5246267209618,68.14051113233151,900.0,107,49,58,26.77618069815195,259.439146567718,63.203553835327234,-570.0,0.0,0.0,24.0,1485.0,97478.0,0.0,1.0,15.0,1179.0,77140.0
39211,2011-339-ms031-4-15-r485-me05,2011-01-03,5,2,Andy Roddick,r485,88.0,188.0,1982-08-30,2000.0,8.0,1.06,1.09,Marinko Matosevic,me05,86.0,193.0,1985-08-08,2003.0,138.0,8.0,8.65,1,561,441,120,28.34496919917865,292.0056431368611,54.000736961451246,43350.0,4,1,3,25.404517453798768,242.8333333333333,52.16666666666667,-1500.0,0.0,0.0,2.0,126.0,8050.0,0.0,0.0,0.0,23.0,1595.0
39216,2011-339-ms023-4-10-mb02-ta46,2011-01-03,5,7,Florian Mayer,mb02,82.0,191.0,1983-10-05,2001.0,37.0,1.36,1.41,Bernard Tomic,ta46,91.0,196.0,1992-10-21,2008.0,208.0,3.0,3.1,1,208,98,110,27.247091033538677,258.1310559006211,81.81066790352504,30.0,12,3,9,18.20123203285421,249.16666666666663,78.94444444444444,-3750.0,0.0,0.0,6.0,219.0,13659.0,0.0,0.0,2.0,69.0,3650.0
39220,2011-339-ms017-4-6-b678-sc56,2011-01-03,5,11,Michael Berrer,b678,100.0,193.0,1980-07-01,1999.0,58.0,1.83,1.98,Dudi Sela,sc56,65.0,175.0,1985-04-04,2002.0,75.0,1.83,1.91,1,128,49,79,30.50787132101301,268.9119769119769,101.53603719969,-15300.0,105,46,59,25.749486652977414,252.7684523809524,79.53408253500368,-4530.0,0.0,0.0,13.0,583.0,36082.0,0.0,0.0,12.0,607.0,40298.0
39221,2011-339-ms030-4-5-d801-a511,2011-01-03,5,12,Alexandr Dolgopolov,d801,71.0,180.0,1988-11-07,2006.0,48.0,1.53,1.56,Igor Andreev,a511,80.0,185.0,1983-07-14,2002.0,79.0,2.37,2.59,1,50,22,28,22.154688569472963,263.0136452241716,85.71753246753246,-4680.0,340,176,164,27.47433264887064,265.9261412240454,70.2102965631929,1950.0,0.0,0.0,8.0,545.0,34173.0,0.0,0.0,15.0,859.0,55068.0
39223,2011-339-ms026-4-3-g725-sd32,2011-01-03,5,14,Santiago Giraldo,g725,75.0,188.0,1987-11-27,2004.0,64.0,3.5,3.82,Gilles Simon,sd32,70.0,183.0,1984-12-27,2002.0,41.0,1.28,1.3,1,54,18,36,23.10198494182067,265.000946969697,84.88888888888889,-15030.0,292,177,115,26.01779603011636,252.35188129305777,68.53881110292312,18960.0,0.0,0.0,6.0,388.0,23699.0,0.0,0.0,17.0,1106.0,67636.0
39224,2011-339-ms029-4-2-k540-bc72,2011-01-03,5,15,Lukasz Kubot,k540,88.0,191.0,1982-05-16,2002.0,70.0,1.72,1.78,Daniel Brands,bc72,92.0,196.0,1987-07-17,2005.0,104.0,2.0,2.15,1,67,28,39,28.635181382614647,252.90777777777777,104.7257326007326,-9840.0,44,17,27,23.46611909650924,279.8762254901961,116.0566448801743,-10500.0,0.0,0.0,3.0,178.0,10121.0,0.0,1.0,1.0,125.0,8271.0
39272,2011-451-ms020-4-13-d402-f510,2011-01-03,5,4,Nikolay Davydenko,d402,72.0,178.0,1981-06-02,1999.0,22.0,1.14,1.21,Fabio Fognini,f510,79.0,178.0,1987-05-24,2004.0,55.0,5.0,4.96,1,527,327,200,29.587953456536617,263.5630208333333,68.67423547400611,25260.0,132,51,81,23.61396303901437,234.54497710746028,88.28322440087146,-15870.0,0.0,1.0,41.0,2707.0,171835.0,0.0,1.0,23.0,1277.0,83246.0
39275,2011-451-ms024-4-10-g476-k926,2011-01-03,5,7,Guillermo Garcia-Lopez,g476,80.0,185.0,1983-06-04,2002.0,33.0,1.53,1.61,Mikhail Kukushkin,k926,72.0,183.0,1987-12-26,2006.0,59.0,2.37,2.44,1,262,122,140,27.58384668035592,249.4858903020668,74.01733021077283,6960.0,34,19,15,23.02258726899384,250.7142857142857,77.57368421052632,11700.0,0.0,0.0,6.0,422.0,26689.0,0.0,0.0,5.0,413.0,25155.0
39277,2011-451-ms026-4-8-bc11-g676,2011-01-03,5,9,Sergei Bubka,bc11,88.0,188.0,1987-02-10,2005.0,321.0,3.75,4.55,Daniel Gimeno-Traver,g676,80.0,183.0,1985-08-07,2004.0,56.0,1.25,1.24,1,2,1,1,23.89596167008898,282.5,141.5,0.0,81,32,49,25.4072553045859,266.5962157809984,98.7002551020408,-5580.0,0.0,0.0,0.0,2.0,415.0,0.0,0.0,0.0,14.0,844.0
