name,serie,location,court,surface,totalrounds,bestof
AAPT Championships,International,Adelaide,Outdoor,Hard,5,3.0
Qatar Open,International,Doha,Outdoor,Hard,5,3.0
TATA Open,International,Chennai,Outdoor,Hard,5,3.0
adidas International,International,Sydney,Outdoor,Hard,5,3.0
Heineken Open,ATP250,Auckland,Outdoor,Hard,5,3.0
Australian Open,Grand Slam,Melbourne,Outdoor,Hard,7,5.0
Milan Indoors,International,Milan,Indoor,Carpet,5,3.0
Colombia Open,International,Bogota,Outdoor,Clay,5,3.0
Bellsouth Open,International,Vina del Mar,Outdoor,Clay,5,3.0
Marseille Open,International,Marseille,Indoor,Hard,5,3.0
Copenhagen Open,International,Copenhagen,Indoor,Hard,5,3.0
Kroger St. Jude,International Gold,Memphis,Indoor,Hard,5,3.0
ABN AMRO World Tennis Tournament,ATP500,Rotterdam,Indoor,Hard,5,3.0
Copa AT&T,International,Buenos Aires,Outdoor,Clay,5,3.0
Sybase Open,International,San Jose,Indoor,Hard,5,3.0
Dubai Championships,International Gold,Dubai ,Outdoor,Hard,5,3.0
Abierto Mexicano,ATP500,Acapulco,Outdoor,Hard,5,3.0
Franklin Templeton Tennis Classic,International,Scottsdale,Outdoor,Hard,5,3.0
Citrix Tennis Championships,International,Delray Beach,Outdoor,Hard,5,3.0
Indian Wells TMS,Masters,Indian Wells,Outdoor,Hard,6,3.0
Ericsson Open,Masters,Miami,Outdoor,Hard,7,3.0
Estoril Open,ATP250,Estoril,Outdoor,Clay,5,3.0
Grand Prix Hassan II,ATP250,Marrakech,Outdoor,Clay,5,3.0
Monte Carlo Masters,Masters 1000,Monte Carlo,Outdoor,Clay,6,3.0
Open Seat Godo,International Gold,Barcelona,Outdoor,Clay,6,3.0
Verizon Tennis Challenge,International,Atlanta,Outdoor,Clay,5,3.0
BMW Open,ATP250,Munich,Outdoor,Clay,5,3.0
Mallorca Open,International,Mallorca,Outdoor,Clay,5,3.0
U.S. Men's Clay Court Championships,ATP250,Houston,Outdoor,Clay,5,3.0
Rome TMS,Masters,Rome,Outdoor,Clay,6,3.0
Hamburg TMS,Masters,Hamburg,Outdoor,Clay,6,3.0
Internationaler Raiffeisen Grand Prix,International,St. Polten,Outdoor,Clay,5,3.0
French Open,Grand Slam,Paris,Outdoor,Clay,7,5.0
Stella Artois,International,Queens Club,Outdoor,Grass,6,3.0
Gerry Weber Open,ATP500,Halle,Outdoor,Grass,5,3.0
Heineken Trophy,International,'s-Hertogenbosch,Outdoor,Grass,5,3.0
Nottingham Open,International,Nottingham,Outdoor,Grass,5,3.0
Wimbledon,Grand Slam,London,Outdoor,Grass,7,5.0
Gstaad Open,International,Gstaad,Outdoor,Clay,5,3.0
Hall of Fame Championships,ATP250,Newport,Outdoor,Grass,5,3.0
Swedish Open,International,Bastad,Outdoor,Clay,5,3.0
Mercedes Cup,ATP250,Stuttgart,Outdoor,Grass,5,3.0
Croatia Open,ATP250,Umag,Outdoor,Clay,5,3.0
Dutch Open,International,Amersfoort,Outdoor,Clay,5,3.0
Mercedes-Benz Cup,International,Los Angeles,Outdoor,Hard,5,3.0
Idea Prokom Open,International,Sopot,Outdoor,Clay,5,3.0
Generali Open,ATP250,Kitzbuhel,Outdoor,Clay,5,3.0
Montreal TMS,Masters,Montreal,Outdoor,Hard,6,3.0
Cincinnati TMS,Masters,Cincinnati,Outdoor,Hard,6,3.0
Legg Mason Classic,ATP500,Washington,Outdoor,Hard,6,3.0
RCA Championships,International,Indianapolis,Outdoor,Hard,6,3.0
Hamlet Cup,International,Long Island,Outdoor,Hard,5,3.0
US Open,Grand Slam,New York,Outdoor,Hard,7,5.0
President's Cup,International,Tashkent,Outdoor,Hard,5,3.0
Brasil Open,ATP250,Sao Paulo,Indoor,Clay,5,3.0
Gelsor Open,International,Bucharest,Outdoor,Clay,5,3.0
Campionati Internazionali Di Sicilia,International,Palermo,Outdoor,Clay,5,3.0
Salem Open,International,Hong Kong,Outdoor,Hard,5,3.0
