player1_name,player1_atprank,player1_games,player1_wins,player1_losses,player1_indoor_wins,player1_indoor_losses,player1_outdoor_wins,player1_outdoor_losses,player2_name,player2_atprank,player2_games,player2_wins,player2_losses,player2_indoor_wins,player2_indoor_losses,player2_outdoor_wins,player2_outdoor_losses,tournament_name,tournament_location,tournament_court,tournament_surface,match_date,match_odd_player1,match_odd_player2,winner_player1
Mager G.,67,59,24,35,3,7,21,28,Harrison R.,481,272,117,155,16,17,101,138,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-07,2.0,1.72,1
Kwon S.W.,68,108,53,55,12,6,41,49,Korda S.,26,126,75,51,15,9,60,42,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-07,2.0,1.72,0
Paul T.,14,204,111,93,19,13,92,80,Nam J.S.,590,3,0,3,0,0,0,3,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-07,1.12,6.0,1
Travaglia S.,1024,81,27,54,5,12,22,42,Kecmanovic M.,40,210,107,103,12,16,95,87,Antalya Open,Antalya,Indoor,Hard,2021-01-07,2.62,1.44,1
Bellucci T.,915,380,179,201,22,24,157,177,Monteiro T.,121,171,69,102,9,11,60,91,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-07,3.0,1.36,0
Caruso S.,146,63,19,44,5,9,14,35,Bublik A.,25,219,110,109,39,30,71,79,Antalya Open,Antalya,Indoor,Hard,2021-01-07,2.2,1.61,0
Arnaboldi A.,267,14,4,10,0,1,4,9,Basilashvili N.,118,301,138,163,26,34,112,129,Antalya Open,Antalya,Indoor,Hard,2021-01-07,2.5,1.5,0
Zuk K.,172,3,0,3,0,2,0,1,Celikbilek A.,230,9,4,5,3,3,1,2,Antalya Open,Antalya,Indoor,Hard,2021-01-07,1.5,2.5,0
Ruusuvuori E.,55,158,79,79,16,18,63,61,Vesely J.,528,288,130,158,6,19,124,139,Antalya Open,Antalya,Indoor,Hard,2021-01-07,1.5,2.5,1
Goffin D.,123,522,296,226,66,52,230,174,Herbert P.H.,157,202,89,113,31,38,58,75,Antalya Open,Antalya,Indoor,Hard,2021-01-07,1.4,2.75,1
Querrey S.,287,678,369,309,48,39,321,270,Mcdonald M.,60,190,87,103,11,15,76,88,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-08,1.8,1.9,1
Harrison C.,251,15,6,9,0,0,6,9,Etcheverry T.,34,60,26,34,5,3,21,31,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-08,1.33,3.25,1
Galan D.E.,76,78,33,45,3,5,30,40,Martin A.,723,258,107,151,6,13,101,138,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-08,1.4,2.75,1
Rubin N.,306,29,8,21,0,2,8,19,Quiroz R.,293,6,3,3,0,0,3,3,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-08,1.72,2.0,0
Fratangelo B.,695,62,22,40,0,1,22,39,King K.,304,7,1,6,0,0,1,6,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-08,1.5,2.5,1
Aragone J.C.,299,1,0,1,0,0,0,1,Norrie C.,13,287,172,115,15,18,157,97,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-08,4.33,1.2,0
Andujar P.,323,404,164,240,12,30,152,210,Karlovic I.,221,674,351,323,80,66,271,257,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-08,1.44,2.62,0
Chardy J.,542,591,289,302,44,48,245,254,Albot R.,97,215,86,129,26,26,60,103,Antalya Open,Antalya,Indoor,Hard,2021-01-08,2.0,1.72,1
Kuzmanov D.,207,12,4,8,2,8,2,0,Djere L.,38,243,120,123,10,22,110,101,Antalya Open,Antalya,Indoor,Hard,2021-01-08,2.62,1.44,1
Fognini F.,128,742,383,359,39,48,344,311,Vrbensky M.,311,1,0,1,0,1,0,0,Antalya Open,Antalya,Indoor,Hard,2021-01-08,1.4,2.75,1
Kuhn N.,259,12,3,9,1,1,2,8,Bachinger M.,279,86,31,55,14,17,17,38,Antalya Open,Antalya,Indoor,Hard,2021-01-08,2.25,1.57,1
Jaziri M.,444,217,83,134,8,20,75,114,De Minaur A.,19,272,161,111,30,19,131,92,Antalya Open,Antalya,Indoor,Hard,2021-01-08,13.0,1.04,0
Berrettini M.,38,217,142,75,14,11,128,64,Kirkin E.,446,2,0,2,0,1,0,1,Antalya Open,Antalya,Indoor,Hard,2021-01-08,1.03,15.0,1
Molcan A.,120,86,45,41,1,6,44,35,Grenier H.,122,16,5,11,1,2,4,9,Antalya Open,Antalya,Indoor,Hard,2021-01-08,1.9,1.8,0
Ilhan M.,571,74,20,54,3,11,17,43,Andreev A.,319,8,2,6,2,6,0,0,Antalya Open,Antalya,Indoor,Hard,2021-01-08,4.33,1.2,0
Gerasimov E.,150,93,43,50,19,19,24,31,Lamasine T.,271,9,3,6,1,2,2,4,Antalya Open,Antalya,Indoor,Hard,2021-01-08,1.16,5.0,0
Struff J.L.,21,369,170,199,43,42,127,157,Kotov P.,89,25,10,15,1,4,9,11,Antalya Open,Antalya,Indoor,Hard,2021-01-08,1.22,4.0,1
Young D.,327,312,125,187,22,28,103,159,Tiafoe F.,10,303,158,145,24,23,134,122,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-09,4.0,1.22,0
Garin C.,101,190,103,87,15,13,88,74,Harrison C.,251,15,6,9,0,0,6,9,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-09,1.44,2.62,0
Mager G.,67,59,24,35,3,7,21,28,Querrey S.,287,678,369,309,48,39,321,270,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-09,4.0,1.22,1
Goffin D.,123,522,296,226,66,52,230,174,Kuhn N.,259,12,3,9,1,1,2,8,Antalya Open,Antalya,Indoor,Hard,2021-01-09,1.11,6.5,1
Korda S.,26,126,75,51,15,9,60,42,Paul T.,14,204,111,93,19,13,92,80,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-09,2.37,1.53,1
Ruusuvuori E.,55,158,79,79,16,18,63,61,Travaglia S.,1024,81,27,54,5,12,22,42,Antalya Open,Antalya,Indoor,Hard,2021-01-09,1.44,2.62,0
Basilashvili N.,118,301,138,163,26,34,112,129,Celikbilek A.,230,9,4,5,3,3,1,2,Antalya Open,Antalya,Indoor,Hard,2021-01-09,1.4,2.75,1
De Minaur A.,19,272,161,111,30,19,131,92,Andreev A.,319,8,2,6,2,6,0,0,Antalya Open,Antalya,Indoor,Hard,2021-01-09,1.08,8.0,1
Tiafoe F.,10,303,158,145,24,23,134,122,Fratangelo B.,695,62,22,40,0,1,22,39,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-10,1.3,3.4,1
Quiroz R.,293,6,3,3,0,0,3,3,Karlovic I.,221,674,351,323,80,66,271,257,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-10,2.1,1.66,1
Kuzmanov D.,207,12,4,8,2,8,2,0,Berrettini M.,38,217,142,75,14,11,128,64,Antalya Open,Antalya,Indoor,Hard,2021-01-10,9.0,1.07,0
Struff J.L.,21,369,170,199,43,42,127,157,Grenier H.,122,16,5,11,1,2,4,9,Antalya Open,Antalya,Indoor,Hard,2021-01-10,1.18,4.5,1
Lamasine T.,271,9,3,6,1,2,2,4,Bublik A.,25,219,110,109,39,30,71,79,Antalya Open,Antalya,Indoor,Hard,2021-01-10,4.5,1.18,0
Chardy J.,542,591,289,302,44,48,245,254,Fognini F.,128,742,383,359,39,48,344,311,Antalya Open,Antalya,Indoor,Hard,2021-01-10,2.2,1.61,1
Galan D.E.,76,78,33,45,3,5,30,40,Hurkacz H.,17,238,137,101,27,24,110,77,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-10,3.0,1.36,0
Isner J.,114,755,465,290,53,45,412,245,Monteiro T.,121,171,69,102,9,11,60,91,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-10,1.5,2.5,1
Mannarino A.,27,567,264,303,60,73,204,230,Norrie C.,13,287,172,115,15,18,157,97,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-11,1.9,1.8,0
Mager G.,67,59,24,35,3,7,21,28,Harrison C.,251,15,6,9,0,0,6,9,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-11,2.1,1.72,0
Hurkacz H.,17,238,137,101,27,24,110,77,Quiroz R.,293,6,3,3,0,0,3,3,Delray Beach Open,Delray Beach,Outdoor,Hard,2021-01-11,1.16,5.0,1
